feature,mean_importance
smoking_history_never,-8.487113754419295e-05
smoking_history_current,-7.271072906938902e-05
heart_disease_diff_HbA1c_level,-5.6142070018930235e-05
heart_disease,-5.5423873376370114e-05
smoking_history_not current,-3.2925769571870436e-05
blood_glucose_level_sum_hypertension,-3.2110839232060706e-05
hypertension,-2.0705268041537607e-05
smoking_history_former,-4.495780112093173e-06
gender_Other,0.0
smoking_history_ever,8.733943626945683e-06
gender_Female,2.691856897947542e-05
hypertension_diff_HbA1c_level,0.00025396142375469223
heart_disease_diff_blood_glucose_level,0.00030970152112924366
blood_glucose_level_sum_HbA1c_level,0.0003696634322347597
gender_Male,0.0004993007081119077
HbA1c_level_sum_heart_disease,0.0006652662052129499
HbA1c_level_diff_blood_glucose_level,0.0009732808807644072
HbA1c_level_sum_hypertension,0.0010324178897418213
blood_glucose_level_sum_age,0.0011832666659582548
smoking_history_No Info,0.0017789735875289952
bmi,0.00805409640135837
age,0.02294212879859071
blood_glucose_level,0.04604377652275757
HbA1c_level,0.18423306232066583
blood_glucose_level_multiply_HbA1c_level,0.24152733223660067
